职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
数据工程师,1.3万-2.6万,临平,5-10年,硕士,数仓开发、PostgreSQL、MySQL、数据平台、数据PIPELINE,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476536109.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,13000.0,26000.0
资深数据治理产品开发工程师,1.1万-2万,余杭,5-10年,本科,数据治理、ETL开发、数仓开发、Hadoop、Hive、Java、Python、Spark、HBase,北京霍因科技有限公司,http://jobs.zhaopin.com/CC608050080J40457263602.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,11000.0,20000.0
RPA工程师,1.1万-1.5万 · 14薪,滨江,3-5年,本科,Flask、Django、MySQL、RPA、Python,杭州大和热磁电子有限公司,http://jobs.zhaopin.com/CC120553650J40508537009.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,12833.333333333332,17500.0
数据产品经理(滨江区+线上面试）,1.3万-1.6万,滨江,3-5年,本科,数仓开发、数据建模、数据产品经理、SQL Server、需求分析、产品BA,博彦科技,http://jobs.zhaopin.com/CC000163970J40480689203.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,13000.0,16000.0
爬虫工程师,1.7万-3万 · 13薪,滨江,3-5年,大专,数据采集、爬虫开发、Java、Python,武汉景行英才人力资源服务有限公司,http://jobs.zhaopin.com/CC692528030J40484604916.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,18416.666666666668,32500.0
高级数据开发工程师,1.8万-2万,萧山,5-10年,本科,数仓开发,金锐软件技术(杭州)有限公司,http://jobs.zhaopin.com/CCL1241563750J40491958811.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,18000.0,20000.0
开发团队技术小组长,1.8万-3.5万,滨江,经验不限,本科,Python、Django,浙江天垂科技有限公司,http://jobs.zhaopin.com/CC466235480J40492365711.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,18000.0,35000.0
研发工程师,8千-1.2万,余杭,3-5年,本科,Python web框架、Python并发框架、Python可视化库、Python爬虫框架、嵌入式开发、MySQL,浙江凯弛电子科技有限公司,http://jobs.zhaopin.com/CC202817180J40010846301.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,8000.0,12000.0
数据开发工程师（银行项目）,1.5万-1.9万,萧山,5-10年,本科,数仓开发、ETL开发、数据治理、Hadoop、Hive、Flink、银行、金融,北京汉克时代科技有限公司,http://jobs.zhaopin.com/CC493150920J40557609414.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,15000.0,19000.0
机器人少儿编程教学主管,1万-1.5万,钱塘,1-3年,本科,Python、EV3编程、Scratch、教学管理、授课老师、线下教育,杭州幻码教育科技有限公司,http://jobs.zhaopin.com/CC817222120J40486726406.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,10000.0,15000.0
软件开发工程师,8千-1.4万,余杭,1-3年,本科,,浙江竞高信息技术有限公司,http://jobs.zhaopin.com/CCL1460231900J40393642407.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,8000.0,14000.0
数据开发工程师,1.5万-3万 · 13薪,杭州,3-5年,本科,DBA、数据分析、数据处理、阿里云,杭州诚品科技有限公司,http://jobs.zhaopin.com/CC199434211J00391079106.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,16250.0,32500.0
分布式系统开发工程师(平台类),1万-2万,滨江,3-5年,本科,分布式、Python,浙江宇视科技有限公司,http://jobs.zhaopin.com/CC451534410J40503284814.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,10000.0,20000.0
资深 杭州数据开发 (flink数据开发（汽车AI团队）) AI面试,2万-2.2万,滨江,5-10年,本科,数据治理、数据挖掘、数据建模、Python、Java、C++、Flink、Hadoop、Spark,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40527234407.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,20000.0,22000.0
"大数据开发(浙商银行，统本,银行/财务/资产负债经验)",1.4万-1.6万,萧山,5-10年,本科,ETL、数据建模、银行,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40510896910.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,14000.0,16000.0
机器人少儿编程教学主管,1万-1.5万,拱墅,1-3年,本科,Python、EV3编程、Scratch、教学管理、授课老师、线下教育,杭州幻码教育科技有限公司,http://jobs.zhaopin.com/CC817222120J40486726306.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,10000.0,15000.0
大数据开发-外派福建宁德（宁德时代）,1.3万-1.4万 · 13薪,滨江,5-10年,本科,Hadoop、Flink、Spark,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40488348416.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,14083.333333333332,15166.666666666668
高级大数据开发工程师,1.7万-1.8万,萧山,5-10年,本科,Java、有过财务数据集市、公司客户集市、监管报送数据集市建设经验者优先、零售客户集市、反洗钱、懂EAST5.0或者1104报送,北京汉克时代科技有限公司,http://jobs.zhaopin.com/CC493150920J40547422414.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,17000.0,18000.0
大数据开发工程师,1.6万-2万,上城,5-10年,本科,数据建模、Scala、Hadoop、Spark,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496100606.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,16000.0,20000.0
数据开发,1.1万-1.7万,滨江,3-5年,本科,Java、MySQL、Redis、DATAWORKS、阿里云大数据,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40483717802.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,11000.0,17000.0
量化IT工程师,2.5万-3万 · 16薪,上城,经验不限,硕士,C++、Python,上海拾贝能信私募基金管理合伙企业(有限合伙),http://jobs.zhaopin.com/CCL1477424650J40494841516.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,33333.333333333336,40000.0
scratch编程讲师,9千-1.3万,拱墅,1-3年,本科,SCRATCH编程、信息技术、少儿编程、普通话标准、教育心理学,杭州幻码教育科技有限公司,http://jobs.zhaopin.com/CC817222120J00348768205.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,9000.0,13000.0
数据开发工程师,1.1万-1.5万,滨江,3-5年,本科,数据治理、数据挖掘、ETL开发、数仓开发、Java,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40486851502.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,11000.0,15000.0
编程教师（杭州-双休-六险一金）,1万-1.5万,拱墅,1-3年,本科,C/C++、Python、Java、授课老师、线下教育,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40305837202.htm?refcode=4019&srccode=401901&preactionid=ace60364-b456-4b41-9529-256440172869,杭州,python,10000.0,15000.0
少儿编程教学主管(线上课),2万-2.3万,西湖,3-5年,本科,线上教育,微特科技(山西)有限公司,http://jobs.zhaopin.com/CCL1363521370J40532967001.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,20000.0,23000.0
教学主管,1万-1.5万,拱墅,1-3年,本科,Python、EV3编程、Scratch、教学管理、授课老师、线下教育,杭州幻码教育科技有限公司,http://jobs.zhaopin.com/CC817222120J40110434106.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,10000.0,15000.0
数据治理主管 (MJ001860),1.1万-1.7万,钱塘,5-10年,本科,数据治理,三花控股,http://jobs.zhaopin.com/CC141761210J40484715601.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,11000.0,17000.0
少儿编程教学主管,1.5万-2.2万 · 13薪,上城,3-5年,本科,授课老师、教研、教学管理、线上教育,微特科技(山西)有限公司,http://jobs.zhaopin.com/CCL1363521370J40533350101.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,16250.0,23833.333333333332
少儿编程教学主管（线上课）(J39696),2万-2.3万,西湖,3-5年,本科,Python、C/C++、教学管理、线上教育,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40481576802.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,20000.0,23000.0
软件开发工程师,1万-1.6万,滨江,3-5年,本科,Python web框架、Python并发框架、后端开发,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40475853516.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,10000.0,16000.0
软件开发工程师,1.4万-2.8万 · 14薪,滨江,经验不限,本科,Linux、C、C++、Python、Go、软件工程师,西安华为,http://jobs.zhaopin.com/CC450463880J40312874615.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,16333.333333333334,32666.666666666668
编程教学主管（线上课-高薪双休）,2万-2.5万,西湖,3-5年,本科,Python、C/C++、Scratch、授课老师、教学管理、线上教育、编程、主管、管理,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40482352102.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,20000.0,25000.0
少儿编程教学主管,2万-2.3万,上城,3-5年,本科,少儿编程教学主管(线上课),微特科技(山西)有限公司,http://jobs.zhaopin.com/CCL1363521370J40534997001.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,20000.0,23000.0
少儿编程教学主管（线上课）,2万-2.3万,西湖,3-5年,本科,C/C++、Python、Scratch、教学主管、线上教育,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40488384202.htm?refcode=4019&srccode=401901&preactionid=f338ee90-d283-482c-b0ac-46caa07bec7f,杭州,python,20000.0,23000.0
大数据开发工程师,1.6万-2.2万,滨江,5-10年,本科,,上海兴岩信息科技有限公司,http://jobs.zhaopin.com/CC334558030J40539969614.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,16000.0,22000.0
大数据开发工程师,1.6万-2万,上城,5-10年,本科,数据建模、Scala、Hadoop、Spark,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40496100606.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,16000.0,20000.0
大数据分析助理,7千-1万,钱塘,经验不限,本科,SQL、SPSS,长沙信必优信息科技有限公司,http://jobs.zhaopin.com/CCL1310486740J40474057806.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,7000.0,10000.0
大数据开发工程师,1.5万-3万 · 14薪,滨江,经验不限,本科,数据治理、数据挖掘、Java、Python、Scala、Shell、Flink、Hadoop,外企德科,http://jobs.zhaopin.com/CC138117190J40409245405.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,17500.0,35000.0
中国移动正式员工-大数据开发,1.5万-3万,上城,经验不限,本科,Java、数据治理、数据挖掘、Hadoop、Flink、Spark,浙江外服人力资源服务有限公司,http://jobs.zhaopin.com/CC559618430J40499150302.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,30000.0
数据开发（大数据方向）,1.5万-2.2万 · 13薪,西湖,3-5年,本科,数仓开发、数据建模、数据集市、数据运维、数据湖、实时数仓、数据中台、数据平台、ETL开发、报表开发、Java,百世物流,http://jobs.zhaopin.com/CC205908110J40457692904.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,16250.0,23833.333333333332
大数据开发工程师（急招/一轮面试）,1.7万-2.3万,拱墅,3-5年,学历不限,Hadoop、保险,纬创软件,http://jobs.zhaopin.com/CC120817710J40542488001.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,17000.0,23000.0
双休大数据开发（福利好）,1.3万-1.5万,钱塘,1-3年,本科,Python、C++、智能驾驶数据,深圳市南深人力资源股份有限公司,http://jobs.zhaopin.com/CC548571630J40491500911.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,13000.0,15000.0
大数据开发工程师（杭州）(J10979),1万-1.5万,萧山,1-3年,本科,大数据开发、Hadoop、Spark、Flink、Hive、Kafka、Impala、Elasticsearch,先进数通,http://jobs.zhaopin.com/CC000432190J40262689816.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,15000.0
大数据开发工程师,1万-1.5万 · 13薪,滨江,1-3年,本科,数据建模,杭州三汇数字信息技术有限公司,http://jobs.zhaopin.com/CC120140130J40552547212.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10833.333333333334,16250.0
大数据开发工程师,1.5万-2.5万,西湖,3-5年,本科,SQL、Hadoop、数据平台、Java、Shell、Spark、Flink,杭州中港科技有限公司,http://jobs.zhaopin.com/CC660549420J40219268905.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,25000.0
大数据平台开发与运维工程师,1万-2万,杭州,1-3年,本科,数据运维,浙江省公众信息产业有限公司,http://jobs.zhaopin.com/CC147451160J40424318911.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,20000.0
大数据开发（flink经验）,1万-1.5万,滨江,3-5年,本科,Flink、SPRING BOOT编程、大数据开发,博彦科技,http://jobs.zhaopin.com/CC000163970J40513370803.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,15000.0
数据爬虫工程师,1万-2万,滨江,3-5年,本科,Python、SQL、Java、GO、爬虫开发、Flask、Django、MYSQL、PGSQL、ES,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40479988016.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,20000.0
大数据交付工程师,1.3万-2.3万,萧山,3-5年,大专,数据迁移、数据搬站、MaxCompute、DATAWORKS、Flink,浩鲸科技,http://jobs.zhaopin.com/CC131936250J40498375516.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,13000.0,23000.0
Java大数据开发工程师（可接受21届/双休）,1万-1.7万,滨江,1-3年,本科,Java、Spark、Hadoop、Hive、Flink、Kafka,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40439991516.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,17000.0
【实习生】大数据开发工程师,120-150/天,滨江,经验不限,本科,数据开发,华诺科技,http://jobs.zhaopin.com/CC143699670J40483467103.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,2610.0,3262.5
大数据分析师,1万-1.3万,上城,1-3年,本科,Python、机器学习、商业数据分析,深圳市申河信息科技有限公司,http://jobs.zhaopin.com/CCL1414332750J40468440212.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,10000.0,13000.0
工控安全大数据开发工程师,1.5万-3万,滨江,3-5年,本科,Hadoop、Spark、Hbase,迪普科技,http://jobs.zhaopin.com/CC237981413J00442233906.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,30000.0
大数据组件开发,1.5万-3万,西湖,1-3年,硕士,数据治理、数据挖掘、Hadoop、Kafka,北京华安保信息技术有限公司,http://jobs.zhaopin.com/CC142084810J40480941904.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,30000.0
大数据开发工程师（学信本）,1.8万-2万,萧山,3-5年,本科,数据建模、Java,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504169110.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,18000.0,20000.0
大数据开发工程师,1.3万-1.4万,钱塘,1-3年,本科,Java、Python、C++、Spark、Hadoop,深圳佳壹信息技术有限公司,http://jobs.zhaopin.com/CCL1467984460J40492231216.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,13000.0,14000.0
数据库开发工程师,1万-1.5万 · 14薪,西湖,1-3年,本科,SQL、数仓,思特奇,http://jobs.zhaopin.com/CC120747250J40469403111.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,11666.666666666668,17500.0
大数据开发工程师,1.2万-1.6万,萧山,1-3年,本科,大数据开发、Flink、Hive、Hbase,紫金支点,http://jobs.zhaopin.com/CC134171900J40256344211.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,12000.0,16000.0
高级大数据开发工程师,1.5万-3万 · 13薪,滨江,3-5年,本科,大数据开发、数据分析、Hadoop、Spark、Elasticsearch,迪普科技,http://jobs.zhaopin.com/CC237981410J40228272813.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,16250.0,32500.0
大数据开发工程师,1.4万-1.9万 · 13薪,滨江,3-5年,本科,Hadoop、帆软报表开发,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40527995607.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15166.666666666668,20583.333333333332
大数据工程师,1.5万-1.8万,萧山,5-10年,本科,数仓开发,天阳科技,http://jobs.zhaopin.com/CC120408370J40520860408.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,18000.0
大数据开发工程师,1.5万-2.5万,滨江,5-10年,本科,Flink、Elasticsearch、Kafka,迪普科技,http://jobs.zhaopin.com/CC237981410J40467825813.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,15000.0,25000.0
开发（不限语言）/大数据/安全,1.5万-3万 · 15薪,滨江,经验不限,本科,MySQL,外企德科,http://jobs.zhaopin.com/CC138117190J40511731105.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,18750.0,37500.0
大数据工程师,1万-2万 · 16薪,上城,经验不限,本科,数仓开发、数据运维、数据平台、Java、Python,万向财务有限公司,http://jobs.zhaopin.com/CC145898140J40445211610.htm?refcode=4019&srccode=401901&preactionid=5e8baefe-c427-4abe-a850-2e617c58dd5b,杭州,大数据,13333.333333333334,26666.666666666668
大数据开发工程师,1.6万-2.6万 · 14薪,滨江,3-5年,本科,数据中台、数据建模、实时数仓、Hadoop、Hive、Spark、MySQL、HBase、SQL Server,亚信科技,http://jobs.zhaopin.com/CC139131340J40481239611.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,18666.666666666664,30333.333333333332
大数据测试工程师,1万-1.2万,余杭,经验不限,大专,大数据,杭州星溢科技有限公司,http://jobs.zhaopin.com/CCL1351874340J40239737602.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,10000.0,12000.0
大数据开发（有银行经验皆可）,1.5万-1.9万,萧山,5-10年,本科,银行经验,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40489926706.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,15000.0,19000.0
大数据开发工程师,1.5万-1.7万,滨江,3-5年,大专,Java,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40467080904.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,15000.0,17000.0
研究院-大数据算法实习生,300-350/天,滨江,经验不限,硕士,Python、数据库、数据挖掘,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40591720815.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,6525.0,7612.5
ETL开发岗,1.5万-2.5万 · 15薪,上城,1-3年,本科,MySQL、Python,大地期货有限公司,http://jobs.zhaopin.com/CC163471810J40575394015.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,18750.0,31250.000000000004
算法工程师（AI 大数据 图像 智能车）,2万-4万 · 16薪,滨江,经验不限,本科,,外企德科,http://jobs.zhaopin.com/CC138117190J40499946805.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,26666.666666666668,53333.333333333336
大数据工程师,1.2万-2万,富阳,经验不限,硕士,大数据,银江技术股份有限公司,http://jobs.zhaopin.com/CCL1388477410J40464286213.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,12000.0,20000.0
数据库开发(杭州 周末双休),1.2万-2万 · 13薪,滨江,3-5年,本科,Oracle、Hadoop、SparkSQL,北京联龙博通电子商务技术有限公司,http://jobs.zhaopin.com/CC120407450J40364449007.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,13000.0,21666.666666666668
大数据产品经理（有tob经验）,1万-1.6万,滨江,经验不限,本科,TO B,博彦科技,http://jobs.zhaopin.com/CC000163970J40513239103.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,10000.0,16000.0
数据分析（BI工程师）,1万-1.4万,滨江,3-5年,大专,FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520621609.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,10000.0,14000.0
大数据开发,1.6万-1.8万,萧山,5-10年,本科,Oracle、数据迁移,上海浩方信息技术有限公司南京分公司,http://jobs.zhaopin.com/CC871883930J40495542711.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,16000.0,18000.0
大数据开发工程师（统本）,1.3万-1.8万,上城,3-5年,本科,数据中台、数仓开发、Hive、Spark,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40500159010.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,13000.0,18000.0
数据分析（BI工程师）,1.3万-1.4万,滨江,3-5年,大专,数据可视化、FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520625009.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,13000.0,14000.0
BI报表开发（线上面试）,1.3万-1.8万,滨江,3-5年,大专,报表开发、SQL、SQL Server、Hive、ETL、帆软、FINEBI,博彦科技,http://jobs.zhaopin.com/CC000163970J40481525403.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,13000.0,18000.0
大数据运维岗位,1.4万-1.9万,萧山,3-5年,本科,Hadoop、Spark、HBase、Flink、Java、Python、FLINK+HOLO,润和软件,http://jobs.zhaopin.com/CC171774410J40545900214.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,14000.0,19000.0
报表开发工程师,1.4万-1.6万,上城,1-3年,本科,报表开发、SQL、ETL、FineReport、BI,上海吉信科光电信息技术有限公司,http://jobs.zhaopin.com/CC494109230J40205742813.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,14000.0,16000.0
大数据算法工程师,1.6万-2.4万 · 14薪,余杭,3-5年,本科,深度学习,威星智能,http://jobs.zhaopin.com/CC198524320J40545735212.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,18666.666666666664,28000.0
"大数据开发(浙商银行，统本,银行/财务/资产负债经验)",1.4万-1.6万,萧山,5-10年,本科,ETL、数据建模、银行,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40510896910.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,14000.0,16000.0
ETL开发工程师,1.2万-1.8万,余杭,3-5年,本科,SQL、Python、Kettle、Oracle、MySQL、数据开发,浙江鸿程计算机系统有限公司,http://jobs.zhaopin.com/CC135288900J40394310308.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,12000.0,18000.0
大数据开发工程师,1.1万-2.2万,拱墅,5-10年,本科,Python、Shell、Hadoop、Hive、DATAWORKS、MaxCompute、Spark、保险行业、OTS,北京灵信互动信息技术有限公司,http://jobs.zhaopin.com/CC139562960J40492506910.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,11000.0,22000.0
大数据运维工程师,1.5万-1.8万,萧山,3-5年,本科,Hadoop,紫金支点,http://jobs.zhaopin.com/CC134171900J40419867411.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,15000.0,18000.0
浙江省邮电工程建设有限公司—博士后（通信、大数据、智慧城市方向）,3万-3.5万,上城,经验不限,博士,通信设计、大数据、智慧城市、云计算、智慧平台,智联猎头,http://jobs.zhaopin.com/CCL1318355140J40477589703.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,30000.0,35000.0
Java开发（学信本~大数据经验优先）,1.7万-2万,萧山,3-5年,本科,Spring、MySQL,北京青钱信息技术有限公司,http://jobs.zhaopin.com/CC337626410J40504170210.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,17000.0,20000.0
科研助理,5千-1万,西湖,经验不限,大专,大数据、软件行业,浙江大学,http://jobs.zhaopin.com/CC199796410J40480579304.htm?refcode=4019&srccode=401901&preactionid=837d57d7-4ec1-4e3c-8313-8192e43679a9,杭州,大数据,5000.0,10000.0
